row_number,event_type,health_score,status,description,is_accurate
67,WARNING,83.30,HEALTHY,Multi-factor degradation detected,false
68,WARNING,84.86,HEALTHY,Multi-factor degradation detected,false
69,WARNING,82.41,HEALTHY,Multi-factor degradation detected,false
70,FAILURE_CONFIRMED,75.41,HEALTHY,Multi-factor degradation detected,true
71,WARNING,74.85,HEALTHY,Multi-factor degradation detected,false
72,WARNING,81.40,HEALTHY,Multi-factor degradation detected,false
73,WARNING,82.36,HEALTHY,Multi-factor degradation detected,false
74,WARNING,80.71,HEALTHY,Multi-factor degradation detected,false
75,WARNING,80.11,HEALTHY,Critical tool wear (202min),false
76,WARNING,79.90,HEALTHY,Critical tool wear (204min),false
77,WARNING,79.40,HEALTHY,Critical tool wear (206min),false
78,FAILURE_CONFIRMED,80.66,HEALTHY,Critical tool wear (208min),true
127,WARNING,79.54,HEALTHY,Multi-factor degradation detected,false
138,WARNING,74.59,HEALTHY,Multi-factor degradation detected,false
140,WARNING,81.98,HEALTHY,Multi-factor degradation detected,false
149,WARNING,83.79,HEALTHY,Multi-factor degradation detected,false
150,WARNING,84.84,HEALTHY,Multi-factor degradation detected,false
151,WARNING,84.49,HEALTHY,Multi-factor degradation detected,false
152,WARNING,84.10,HEALTHY,Multi-factor degradation detected,false
153,WARNING,83.58,HEALTHY,Multi-factor degradation detected,false
154,WARNING,78.85,HEALTHY,Multi-factor degradation detected,false
155,WARNING,82.70,HEALTHY,Multi-factor degradation detected,false
156,WARNING,73.74,HEALTHY,Multi-factor degradation detected,false
157,WARNING,80.06,HEALTHY,Critical tool wear (203min),false
158,WARNING,80.95,HEALTHY,Critical tool wear (206min),false
159,WARNING,80.08,HEALTHY,Critical tool wear (211min),false
160,WARNING,78.05,HEALTHY,Critical tool wear (214min),false
161,FAILURE_CONFIRMED,70.06,HEALTHY,Critical tool wear (216min),true
162,FAILURE_CONFIRMED,76.70,HEALTHY,Critical tool wear (218min),true
169,FAILURE_CONFIRMED,91.75,HEALTHY,Multi-factor degradation detected,true
170,WARNING,93.29,HEALTHY,Multi-factor degradation detected,false
175,WARNING,93.31,HEALTHY,Multi-factor degradation detected,false
187,WARNING,91.16,HEALTHY,Multi-factor degradation detected,false
208,FAILURE_CONFIRMED,80.03,HEALTHY,Multi-factor degradation detected,true
234,WARNING,84.24,HEALTHY,Multi-factor degradation detected,false
235,WARNING,85.15,HEALTHY,Multi-factor degradation detected,false
236,WARNING,83.40,HEALTHY,Multi-factor degradation detected,false
237,WARNING,84.29,HEALTHY,Multi-factor degradation detected,false
238,WARNING,83.91,HEALTHY,Multi-factor degradation detected,false
239,WARNING,81.42,HEALTHY,Multi-factor degradation detected,false
240,WARNING,81.27,HEALTHY,Multi-factor degradation detected,false
241,WARNING,80.61,HEALTHY,Multi-factor degradation detected,false
242,WARNING,74.18,HEALTHY,Multi-factor degradation detected,false
243,FAILURE_CONFIRMED,75.60,HEALTHY,Critical tool wear (202min),true
244,WARNING,81.50,HEALTHY,Critical tool wear (204min),false
245,WARNING,79.39,HEALTHY,Critical tool wear (206min),false
246,WARNING,78.84,HEALTHY,Critical tool wear (209min),false
247,WARNING,78.57,HEALTHY,Critical tool wear (212min),false
248,WARNING,78.44,HEALTHY,Critical tool wear (214min),false
249,FAILURE_CONFIRMED,73.19,HEALTHY,Critical tool wear (216min),true
250,FAILURE_CONFIRMED,72.84,HEALTHY,Critical tool wear (218min),true
257,WARNING,91.81,HEALTHY,Multi-factor degradation detected,false
260,FAILURE_CONFIRMED,91.66,HEALTHY,Multi-factor degradation detected,true
319,WARNING,85.50,HEALTHY,Multi-factor degradation detected,false
320,WARNING,83.54,HEALTHY,Multi-factor degradation detected,false
321,WARNING,84.80,HEALTHY,Multi-factor degradation detected,false
322,WARNING,82.36,HEALTHY,Multi-factor degradation detected,false
323,WARNING,83.61,HEALTHY,Multi-factor degradation detected,false
324,WARNING,81.85,HEALTHY,Multi-factor degradation detected,false
325,WARNING,82.91,HEALTHY,Multi-factor degradation detected,false
326,WARNING,80.24,HEALTHY,Multi-factor degradation detected,false
327,WARNING,81.99,HEALTHY,Critical tool wear (201min),false
328,FAILURE_CONFIRMED,75.39,HEALTHY,Critical tool wear (203min),true
329,WARNING,77.99,HEALTHY,Critical tool wear (205min),false
330,WARNING,76.96,HEALTHY,Critical tool wear (210min),false
331,WARNING,79.45,HEALTHY,Critical tool wear (215min),false
332,WARNING,76.81,HEALTHY,Critical tool wear (218min),false
365,WARNING,87.03,HEALTHY,Multi-factor degradation detected,false
366,WARNING,86.67,HEALTHY,Multi-factor degradation detected,false
388,WARNING,74.26,HEALTHY,Multi-factor degradation detected,false
404,WARNING,77.32,HEALTHY,Multi-factor degradation detected,false
405,WARNING,81.93,HEALTHY,Multi-factor degradation detected,false
406,WARNING,78.16,HEALTHY,Multi-factor degradation detected,false
407,WARNING,82.04,HEALTHY,Multi-factor degradation detected,false
408,WARNING,83.76,HEALTHY,Multi-factor degradation detected,false
409,WARNING,83.27,HEALTHY,Multi-factor degradation detected,false
410,WARNING,82.75,HEALTHY,Multi-factor degradation detected,false
411,WARNING,82.45,HEALTHY,Multi-factor degradation detected,false
412,WARNING,81.96,HEALTHY,Critical tool wear (201min),false
413,WARNING,79.93,HEALTHY,Critical tool wear (203min),false
414,WARNING,79.79,HEALTHY,Critical tool wear (205min),false
415,WARNING,79.19,HEALTHY,Critical tool wear (207min),false
416,WARNING,80.45,HEALTHY,Critical tool wear (209min),false
417,WARNING,80.09,HEALTHY,Critical tool wear (211min),false
418,WARNING,77.81,HEALTHY,Critical tool wear (213min),false
423,WARNING,93.14,HEALTHY,Multi-factor degradation detected,false
430,WARNING,90.04,HEALTHY,Multi-factor degradation detected,false
443,FAILURE_CONFIRMED,89.90,HEALTHY,Multi-factor degradation detected,true
448,WARNING,89.24,HEALTHY,Multi-factor degradation detected,false
456,WARNING,85.29,HEALTHY,Multi-factor degradation detected,false
480,WARNING,82.39,HEALTHY,Multi-factor degradation detected,false
484,WARNING,80.67,HEALTHY,Multi-factor degradation detected,false
488,WARNING,83.89,HEALTHY,Multi-factor degradation detected,false
489,WARNING,84.57,HEALTHY,Multi-factor degradation detected,false
490,WARNING,78.03,HEALTHY,Multi-factor degradation detected,false
491,WARNING,83.70,HEALTHY,Multi-factor degradation detected,false
492,WARNING,82.02,HEALTHY,Multi-factor degradation detected,false
493,WARNING,83.01,HEALTHY,Multi-factor degradation detected,false
494,WARNING,82.66,HEALTHY,Multi-factor degradation detected,false
495,WARNING,80.48,HEALTHY,Multi-factor degradation detected,false
496,WARNING,80.12,HEALTHY,Critical tool wear (201min),false
497,WARNING,81.12,HEALTHY,Critical tool wear (206min),false
498,WARNING,80.62,HEALTHY,Critical tool wear (209min),false
499,WARNING,78.44,HEALTHY,Critical tool wear (211min),false
500,WARNING,79.94,HEALTHY,Critical tool wear (213min),false
501,WARNING,75.54,HEALTHY,Critical tool wear (215min),false
502,WARNING,77.64,HEALTHY,Critical tool wear (218min),false
503,WARNING,78.55,HEALTHY,Critical tool wear (221min),false
518,WARNING,93.35,HEALTHY,Multi-factor degradation detected,false
561,WARNING,76.55,HEALTHY,Multi-factor degradation detected,false
573,WARNING,83.64,HEALTHY,Multi-factor degradation detected,false
574,WARNING,83.84,HEALTHY,Multi-factor degradation detected,false
575,WARNING,84.70,HEALTHY,Multi-factor degradation detected,false
576,WARNING,77.96,HEALTHY,Multi-factor degradation detected,false
577,WARNING,81.65,HEALTHY,Multi-factor degradation detected,false
578,WARNING,82.79,HEALTHY,Multi-factor degradation detected,false
579,WARNING,82.45,HEALTHY,Multi-factor degradation detected,false
580,WARNING,78.93,HEALTHY,Multi-factor degradation detected,false
581,WARNING,77.34,HEALTHY,Critical tool wear (203min),false
582,WARNING,81.09,HEALTHY,Critical tool wear (206min),false
583,WARNING,78.96,HEALTHY,Critical tool wear (208min),false
584,WARNING,78.77,HEALTHY,Critical tool wear (210min),false
585,WARNING,77.80,HEALTHY,Critical tool wear (215min),false
586,WARNING,67.86,WARNING,Critical tool wear (220min),false
587,FAILURE_CONFIRMED,76.38,HEALTHY,Critical tool wear (222min),true
588,WARNING,76.43,HEALTHY,Critical tool wear (224min),false
589,WARNING,75.63,HEALTHY,Critical tool wear (229min),false
590,WARNING,76.73,HEALTHY,Critical tool wear (231min),false
591,WARNING,76.33,HEALTHY,Critical tool wear (233min),false
592,WARNING,76.01,HEALTHY,Critical tool wear (235min),false
593,WARNING,72.92,HEALTHY,Critical tool wear (240min),false
604,FAILURE_CONFIRMED,90.70,HEALTHY,Multi-factor degradation detected,true
629,WARNING,85.09,HEALTHY,Multi-factor degradation detected,false
643,WARNING,77.95,HEALTHY,Multi-factor degradation detected,false
658,WARNING,81.28,HEALTHY,Multi-factor degradation detected,false
663,WARNING,85.41,HEALTHY,Multi-factor degradation detected,false
664,WARNING,84.84,HEALTHY,Multi-factor degradation detected,false
665,WARNING,82.94,HEALTHY,Multi-factor degradation detected,false
666,WARNING,80.44,HEALTHY,Multi-factor degradation detected,false
667,WARNING,83.83,HEALTHY,Multi-factor degradation detected,false
668,WARNING,81.75,HEALTHY,Multi-factor degradation detected,false
669,WARNING,75.22,HEALTHY,Multi-factor degradation detected,false
670,WARNING,82.74,HEALTHY,Multi-factor degradation detected,false
671,WARNING,77.63,HEALTHY,Critical tool wear (202min),false
672,WARNING,80.24,HEALTHY,Critical tool wear (204min),false
673,WARNING,81.21,HEALTHY,Critical tool wear (206min),false
674,WARNING,79.10,HEALTHY,Critical tool wear (209min),false
679,WARNING,90.66,HEALTHY,Multi-factor degradation detected,false
690,WARNING,93.55,HEALTHY,Multi-factor degradation detected,false
716,WARNING,81.40,HEALTHY,Multi-factor degradation detected,false
720,WARNING,79.55,HEALTHY,Multi-factor degradation detected,false
739,WARNING,83.43,HEALTHY,Multi-factor degradation detected,false
740,WARNING,84.52,HEALTHY,Multi-factor degradation detected,false
741,WARNING,82.69,HEALTHY,Multi-factor degradation detected,false
742,WARNING,83.61,HEALTHY,Multi-factor degradation detected,false
743,WARNING,81.89,HEALTHY,Multi-factor degradation detected,false
744,WARNING,80.47,HEALTHY,Multi-factor degradation detected,false
745,WARNING,82.39,HEALTHY,Multi-factor degradation detected,false
746,WARNING,80.04,HEALTHY,Multi-factor degradation detected,false
747,FAILURE_CONFIRMED,72.45,HEALTHY,Multi-factor degradation detected,true
748,WARNING,79.73,HEALTHY,Critical tool wear (201min),false
749,WARNING,79.57,HEALTHY,Critical tool wear (203min),false
750,WARNING,71.44,HEALTHY,Critical tool wear (208min),false
751,WARNING,79.72,HEALTHY,Critical tool wear (210min),false
752,WARNING,71.28,HEALTHY,Critical tool wear (212min),false
753,WARNING,77.28,HEALTHY,Critical tool wear (215min),false
754,WARNING,78.55,HEALTHY,Critical tool wear (217min),false
755,WARNING,78.29,HEALTHY,Critical tool wear (219min),false
756,WARNING,77.71,HEALTHY,Critical tool wear (222min),false
757,WARNING,76.80,HEALTHY,Critical tool wear (227min),false
758,WARNING,75.12,HEALTHY,Critical tool wear (229min),false
759,WARNING,76.10,HEALTHY,Critical tool wear (231min),false
760,WARNING,75.62,HEALTHY,Critical tool wear (233min),false
761,WARNING,75.10,HEALTHY,Critical tool wear (236min),false
762,WARNING,73.45,HEALTHY,Critical tool wear (238min),false
763,WARNING,89.80,HEALTHY,Multi-factor degradation detected,false
765,WARNING,92.74,HEALTHY,Multi-factor degradation detected,false
772,WARNING,92.78,HEALTHY,Multi-factor degradation detected,false
836,WARNING,82.84,HEALTHY,Multi-factor degradation detected,false
837,WARNING,82.56,HEALTHY,Multi-factor degradation detected,false
838,WARNING,81.88,HEALTHY,Multi-factor degradation detected,false
839,WARNING,83.12,HEALTHY,Multi-factor degradation detected,false
840,WARNING,82.20,HEALTHY,Multi-factor degradation detected,false
841,WARNING,81.76,HEALTHY,Multi-factor degradation detected,false
842,WARNING,80.10,HEALTHY,Multi-factor degradation detected,false
843,WARNING,79.81,HEALTHY,Critical tool wear (201min),false
844,WARNING,80.54,HEALTHY,Critical tool wear (204min),false
845,WARNING,80.14,HEALTHY,Critical tool wear (206min),false
846,WARNING,79.61,HEALTHY,Critical tool wear (208min),false
847,WARNING,77.47,HEALTHY,Critical tool wear (210min),false
848,FAILURE_CONFIRMED,66.83,WARNING,Critical tool wear (213min),true
849,WARNING,76.91,HEALTHY,Critical tool wear (215min),false
871,WARNING,89.05,HEALTHY,Multi-factor degradation detected,false
881,FAILURE_CONFIRMED,79.84,HEALTHY,Multi-factor degradation detected,true
900,WARNING,76.62,HEALTHY,Multi-factor degradation detected,false
902,WARNING,72.19,HEALTHY,Multi-factor degradation detected,false
904,FAILURE_CONFIRMED,69.32,WARNING,Rotational speed anomaly (2270rpm),true
916,WARNING,83.32,HEALTHY,Multi-factor degradation detected,false
917,WARNING,82.75,HEALTHY,Multi-factor degradation detected,false
918,WARNING,80.19,HEALTHY,Multi-factor degradation detected,false
919,WARNING,81.84,HEALTHY,Multi-factor degradation detected,false
920,WARNING,79.44,HEALTHY,Multi-factor degradation detected,false
921,WARNING,81.14,HEALTHY,Multi-factor degradation detected,false
922,WARNING,80.61,HEALTHY,Multi-factor degradation detected,false
923,WARNING,77.56,HEALTHY,Critical tool wear (202min),false
924,WARNING,77.96,HEALTHY,Critical tool wear (205min),false
925,WARNING,74.75,HEALTHY,Critical tool wear (208min),false
926,WARNING,76.70,HEALTHY,Critical tool wear (210min),false
927,FAILURE_CONFIRMED,71.34,HEALTHY,Critical tool wear (215min),true
938,WARNING,88.41,HEALTHY,Multi-factor degradation detected,false
995,WARNING,76.00,HEALTHY,Multi-factor degradation detected,false
999,WARNING,73.14,HEALTHY,Rotational speed anomaly (2071rpm),false
1000,WARNING,81.91,HEALTHY,Multi-factor degradation detected,false
1001,WARNING,81.11,HEALTHY,Multi-factor degradation detected,false
1002,WARNING,81.18,HEALTHY,Multi-factor degradation detected,false
1003,WARNING,81.12,HEALTHY,Multi-factor degradation detected,false
1004,WARNING,80.47,HEALTHY,Multi-factor degradation detected,false
1005,WARNING,81.67,HEALTHY,Multi-factor degradation detected,false
1006,WARNING,78.62,HEALTHY,Critical tool wear (201min),false
1007,WARNING,78.06,HEALTHY,Critical tool wear (203min),false
1017,FAILURE_CONFIRMED,89.94,HEALTHY,Multi-factor degradation detected,true
1019,WARNING,90.70,HEALTHY,Multi-factor degradation detected,false
1021,WARNING,92.26,HEALTHY,Multi-factor degradation detected,false
1079,WARNING,83.01,HEALTHY,Multi-factor degradation detected,false
1080,WARNING,80.31,HEALTHY,Multi-factor degradation detected,false
1081,WARNING,79.80,HEALTHY,Multi-factor degradation detected,false
1082,WARNING,83.30,HEALTHY,Multi-factor degradation detected,false
1083,WARNING,83.04,HEALTHY,Multi-factor degradation detected,false
1084,WARNING,80.49,HEALTHY,Multi-factor degradation detected,false
1085,WARNING,80.17,HEALTHY,Multi-factor degradation detected,false
1086,FAILURE_CONFIRMED,74.95,HEALTHY,Critical tool wear (202min),true
1087,WARNING,79.14,HEALTHY,Critical tool wear (204min),false
1088,FAILURE_CONFIRMED,80.45,HEALTHY,Critical tool wear (206min),true
1113,WARNING,89.07,HEALTHY,Multi-factor degradation detected,false
1120,WARNING,85.61,HEALTHY,Multi-factor degradation detected,false
1124,FAILURE_CONFIRMED,82.28,HEALTHY,Multi-factor degradation detected,true
1125,FAILURE_CONFIRMED,79.02,HEALTHY,Multi-factor degradation detected,true
1133,WARNING,76.60,HEALTHY,Multi-factor degradation detected,false
1145,FAILURE_CONFIRMED,79.66,HEALTHY,Multi-factor degradation detected,true
1149,WARNING,82.08,HEALTHY,Multi-factor degradation detected,false
1157,WARNING,84.35,HEALTHY,Multi-factor degradation detected,false
1158,WARNING,83.47,HEALTHY,Multi-factor degradation detected,false
1159,WARNING,81.57,HEALTHY,Multi-factor degradation detected,false
1160,WARNING,82.78,HEALTHY,Multi-factor degradation detected,false
1161,WARNING,74.24,HEALTHY,Multi-factor degradation detected,false
1162,FAILURE_CONFIRMED,73.90,HEALTHY,Multi-factor degradation detected,true
1163,FAILURE_CONFIRMED,74.90,HEALTHY,Critical tool wear (202min),true
1164,WARNING,79.32,HEALTHY,Critical tool wear (204min),false
1165,WARNING,77.16,HEALTHY,Critical tool wear (206min),false
1166,WARNING,79.01,HEALTHY,Critical tool wear (208min),false
1167,WARNING,79.96,HEALTHY,Critical tool wear (210min),false
1168,FAILURE_CONFIRMED,77.20,HEALTHY,Critical tool wear (213min),true
1169,WARNING,79.09,HEALTHY,Critical tool wear (215min),false
1170,WARNING,78.69,HEALTHY,Critical tool wear (217min),false
1171,WARNING,70.27,HEALTHY,Critical tool wear (219min),false
1172,WARNING,77.81,HEALTHY,Critical tool wear (222min),false
1173,WARNING,76.99,HEALTHY,Critical tool wear (227min),false
1174,WARNING,76.60,HEALTHY,Critical tool wear (229min),false
1179,WARNING,91.91,HEALTHY,Multi-factor degradation detected,false
1201,WARNING,89.15,HEALTHY,Multi-factor degradation detected,false
1213,WARNING,82.29,HEALTHY,Multi-factor degradation detected,false
1223,WARNING,78.11,HEALTHY,Multi-factor degradation detected,false
1234,WARNING,82.14,HEALTHY,Multi-factor degradation detected,false
1238,WARNING,85.15,HEALTHY,Multi-factor degradation detected,false
1239,WARNING,83.08,HEALTHY,Multi-factor degradation detected,false
1240,WARNING,84.19,HEALTHY,Multi-factor degradation detected,false
1241,WARNING,81.64,HEALTHY,Multi-factor degradation detected,false
1242,WARNING,81.34,HEALTHY,Multi-factor degradation detected,false
1243,WARNING,82.35,HEALTHY,Multi-factor degradation detected,false
1244,WARNING,79.70,HEALTHY,Multi-factor degradation detected,false
